ACQUISITION & DEVELOPMENT COSTS
Detailed breakdown of all capital requirements

PROPERTY ACQUISITION
Line Item,Amount (USD),Notes
Purchase Price,$1100000,Asking price - 20 room mini hotel
Closing Costs (3%),$33000,Legal notary registration
Title Insurance,$11000,1% of purchase price
Due Diligence,$25000,Inspections surveys assessments
Legal Fees (Acquisition),$20000,Purchase agreement fideicomiso
Fideicomiso Setup,$5000,Bank trust for coastal property
Currency Hedge,$15000,USD/MXN protection
TOTAL ACQUISITION,$1209000,

RENOVATION & CONVERSION
Category,Description,Amount (USD),Timeline (Months)
Medical Suite,Full ICU capability monitoring equipment,$800000,3-4
Treatment Rooms,2 ceremony rooms 1 integration space,$400000,2-3
Kitchen Upgrade,Commercial wellness food prep facility,$200000,2
Bathroom Renovations,20 bathrooms to wellness standard,$400000,3
Staff Quarters,On-site accommodation for key staff,$300000,2
Group Spaces,Large therapy and integration rooms,$300000,2
Bio-optimization Lab,Full diagnostic and treatment suite,$1500000,4-5
Outdoor Areas,Rooftop/courtyard treatment spaces,$200000,2
Backup Power,Medical-grade generators UPS systems,$150000,1
SUBTOTAL RENOVATION,$4250000,

MEDICAL EQUIPMENT
Equipment Category,Items Included,Amount (USD)
ICU/Monitoring,$400000,Cardiac monitors defibrillators crash carts ventilators
Diagnostic,$150000,ECG EEG blood analyzers vital monitors
IV Therapy Systems,$100000,Infusion pumps fluid warmers IV carts
Emergency Equipment,$50000,Stretchers wheelchairs emergency supplies
Pharmacy Setup,$50000,Medication storage refrigeration dispensing
SUBTOTAL MEDICAL EQUIPMENT,$750000,

BIO-OPTIMIZATION EQUIPMENT
Equipment Category,Items Included,Amount (USD)
Hyperbaric Chambers (2),$150000,Mild hyperbaric for recovery
IV Therapy Stations (8),$80000,NAD+ vitamin infusion capable
Cryotherapy,$50000,Whole body and localized
Infrared Sauna (4),$40000,Full spectrum for detox
PEMF Devices,$30000,Pulsed electromagnetic therapy
Float Tanks (2),$50000,Sensory deprivation
Red Light Therapy,$20000,Full body panels
Diagnostic Equipment,$30000,HRV monitors body composition
SUBTOTAL BIO-OPTIMIZATION,$450000,

FURNITURE FIXTURES & EQUIPMENT (FF&E)
Category,Description,Amount (USD)
Guest Room Furnishings,$400000,Premium beds linens furniture (20 rooms)
Common Area Furniture,$150000,Lobby dining integration spaces
Ceremony Room Fit-out,$100000,Specialized equipment and furnishings
Kitchen Equipment,$100000,Commercial appliances prep stations
Outdoor Furniture,$50000,Rooftop and courtyard spaces
Art & Decor,$50000,Healing-focused artwork plants
Office Equipment,$50000,Admin areas and staff spaces
Audio/Visual,$50000,Sound systems projectors screens
Linens & Soft Goods,$50000,Initial inventory
SUBTOTAL FF&E,$1000000,

TECHNOLOGY SYSTEMS
System,Description,Amount (USD)
EMR/EHR System,$75000,HIPAA-compliant medical records
Access Control,$40000,Biometric entry guest tracking
Security System,$50000,Cameras monitoring intrusion detection
Network Infrastructure,$35000,Enterprise WiFi fiber backup
Guest Technology,$30000,Room tablets apps integrations
Booking/CRM System,$25000,Reservations guest management
Payment Processing,$15000,Multi-currency POS systems
Communication,$15000,VoIP system intercoms
Backup Systems,$15000,Data backup disaster recovery
SUBTOTAL TECHNOLOGY,$300000,

PRE-OPENING COSTS
Category,Description,Amount (USD)
Staff Recruitment,$50000,Hiring key positions
Staff Training,$75000,Medical protocol certification
Licensing & Permits,$50000,COFEPRIS municipal state
Marketing Launch,$100000,Brand launch awareness campaign
Soft Opening,$50000,Trial runs refinement
Legal/Compliance Setup,$25000,Policies procedures documentation
Inventory (Initial),$30000,Medical supplies consumables
Misc Pre-opening,$20000,Contingency
SUBTOTAL PRE-OPENING,$400000,

WORKING CAPITAL
Purpose,Amount (USD),Notes
Operating Reserve,$600000,6 months operating expenses
Emergency Fund,$300000,Unexpected costs
Cash Buffer,$300000,Guest deposit handling
SUBTOTAL WORKING CAPITAL,$1200000,

PROJECT CONTINGENCY
Category,Base Amount,Contingency %,Contingency Amount
Renovation,$4250000,15%,$637500
Equipment,$2500000,15%,$375000
Pre-opening,$400000,15%,$60000
Other,$500000,15%,$75000
SUBTOTAL CONTINGENCY,,,$1147500

TOTAL PROJECT BUDGET
Category,Amount (USD),% of Total
Acquisition,$1209000,11.1%
Renovation/Conversion,$4250000,39.1%
Medical Equipment,$750000,6.9%
Bio-optimization Equipment,$450000,4.1%
FF&E,$1000000,9.2%
Technology,$300000,2.8%
Pre-opening,$400000,3.7%
Working Capital,$1200000,11.0%
Contingency,$1147500,10.6%
Regulatory & Permits (Addl),$161000,1.5%
GRAND TOTAL,$10867500,100.0%

COST PER ROOM ANALYSIS
Metric,Value
Total Project Cost,$10867500
Guest Rooms (Usable),20
Cost Per Room,$543375
Target Benchmark,$1000000
vs Benchmark,-45.7%
STATUS,EXCEEDS TARGET ✓
