PROFIT & LOSS STATEMENT
5-Year Projections with Monthly Year 1 Detail

YEAR 1 MONTHLY P&L (BASE CASE)
Line Item,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR 1 TOTAL

REVENUE
Program Revenue,$0,$0,$0,$150500,$240800,$331100,$421400,$481600,$541800,$541800,$541800,$541800,$3792600
Bio-optimization Add-ons,$0,$0,$0,$0,$0,$39732,$50568,$57792,$65016,$65016,$65016,$65016,$408156
Other Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
TOTAL REVENUE,$0,$0,$0,$150500,$240800,$370832,$471968,$539392,$606816,$606816,$606816,$606816,$4200756

COST OF GOODS SOLD
Direct Costs (Per Guest),$0,$0,$0,$48000,$76800,$105600,$134400,$153600,$172800,$172800,$172800,$172800,$1209600
GROSS PROFIT,$0,$0,$0,$102500,$164000,$265232,$337568,$385792,$434016,$434016,$434016,$434016,$2991156
Gross Margin %,-,-,-,68.1%,68.1%,71.5%,71.5%,71.5%,71.5%,71.5%,71.5%,71.5%,71.2%

OPERATING EXPENSES
Facility Costs,$32000,$32000,$32000,$32000,$32000,$32000,$32000,$32000,$32000,$32000,$32000,$32000,$384000
Personnel (w/Benefits),$124370,$124370,$124370,$124370,$124370,$124370,$124370,$124370,$124370,$124370,$124370,$124370,$1492440
Professional Services,$15000,$15000,$15000,$15000,$15000,$15000,$15000,$15000,$15000,$15000,$15000,$15000,$180000
Technology,$9000,$9000,$9000,$9000,$9000,$9000,$9000,$9000,$9000,$9000,$9000,$9000,$108000
Marketing,$40000,$40000,$40000,$40000,$40000,$40000,$40000,$40000,$40000,$40000,$40000,$40000,$480000
G&A,$25000,$25000,$25000,$25000,$25000,$25000,$25000,$25000,$25000,$25000,$25000,$25000,$300000
TOTAL OPEX,$245370,$245370,$245370,$245370,$245370,$245370,$245370,$245370,$245370,$245370,$245370,$245370,$2944440

EBITDA,-$245370,-$245370,-$245370,-$142870,-$81370,$19862,$92198,$140422,$188646,$188646,$188646,$188646,$46716
EBITDA Margin %,-,-,-,-94.9%,-33.8%,5.4%,19.5%,26.0%,31.1%,31.1%,31.1%,31.1%,1.1%

Depreciation,$45000,$45000,$45000,$45000,$45000,$45000,$45000,$45000,$45000,$45000,$45000,$45000,$540000
EBIT (Operating Income),-$290370,-$290370,-$290370,-$187870,-$126370,-$25138,$47198,$95422,$143646,$143646,$143646,$143646,-$493284

Interest Expense,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
EBT (Pre-Tax Income),-$290370,-$290370,-$290370,-$187870,-$126370,-$25138,$47198,$95422,$143646,$143646,$143646,$143646,-$493284

Income Tax (30%),$0,$0,$0,$0,$0,$0,$14159,$28627,$43094,$43094,$43094,$43094,$215162
NET INCOME,-$290370,-$290370,-$290370,-$187870,-$126370,-$25138,$33039,$66795,$100552,$100552,$100552,$100552,-$708446
Net Margin %,-,-,-,-124.8%,-52.5%,-6.8%,7.0%,12.4%,16.6%,16.6%,16.6%,16.6%,-16.9%

5-YEAR ANNUAL P&L (BASE CASE)
Line Item,Year 1,Year 2,Year 3,Year 4,Year 5

REVENUE
Program Revenue,$3792600,$7433900,$8551800,$9123100,$9694400
Bio-optimization Add-ons,$408156,$892068,$1026216,$1094772,$1163328
Wellness Products,$0,$223017,$256554,$273693,$290832
Post-care Subscriptions,$0,$371695,$427590,$456155,$484720
TOTAL REVENUE,$4200756,$8920680,$10262160,$10947720,$11633280

COST OF GOODS SOLD
Direct Costs,$1276800,$2466048,$2948872,$3272097,$3616382
GROSS PROFIT,$2923956,$6454632,$7313288,$7675623,$8016898
Gross Margin %,69.6%,72.4%,71.3%,70.1%,68.9%

OPERATING EXPENSES
Facility Costs,$384000,$399360,$415254,$431864,$449219
Personnel (w/Benefits),$1495440,$1555258,$1617468,$1682167,$1749454
Professional Services,$180000,$187200,$194688,$202476,$210575
Technology,$108000,$112320,$116813,$121485,$126345
Marketing,$480000,$499200,$519168,$539935,$561532
G&A,$300000,$312000,$324480,$337459,$350958
TOTAL OPEX,$2947440,$3065338,$3187871,$3315385,$3448083

EBITDA,-$23484,$3389294,$4125417,$4360238,$4568815
EBITDA Margin %,-0.6%,38.0%,40.2%,39.8%,39.3%

Depreciation,$540000,$540000,$540000,$540000,$540000
Amortization,$100000,$100000,$100000,$100000,$100000
EBIT,-$663484,$2749294,$3485417,$3720238,$3928815
EBIT Margin %,-15.8%,30.8%,34.0%,34.0%,33.8%

Interest Expense,$0,$0,$0,$0,$0
EBT,-$663484,$2749294,$3485417,$3720238,$3928815

Income Tax (30%),$0,$824788,$1045625,$1116071,$1178645
NET INCOME,-$663484,$1924506,$2439792,$2604167,$2750170
Net Margin %,-15.8%,21.6%,23.8%,23.8%,23.6%

CONSERVATIVE CASE - 5 YEAR P&L
Line Item,Year 1,Year 2,Year 3,Year 4,Year 5
TOTAL REVENUE,$3279444,$7135740,$8394984,$9024558,$9708204
GROSS PROFIT,$2282869,$5062225,$5956438,$6400632,$6883145
TOTAL OPEX,$2947440,$3065338,$3187871,$3315385,$3448083
EBITDA,-$664571,$1996887,$2768567,$3085247,$3435062
NET INCOME,-$1204571,$757621,$1318597,$1499673,$1724543
Net Margin %,-36.7%,10.6%,15.7%,16.6%,17.8%

AGGRESSIVE CASE - 5 YEAR P&L
Line Item,Year 1,Year 2,Year 3,Year 4,Year 5
TOTAL REVENUE,$5372388,$9710460,$10966728,$11619432,$11619432
GROSS PROFIT,$3759472,$6899727,$7782757,$8249807,$8249807
TOTAL OPEX,$2947440,$3065338,$3187871,$3315385,$3448083
EBITDA,$812032,$3834389,$4594886,$4934422,$4801724
NET INCOME,$120422,$2544072,$3054420,$3282095,$3201207
Net Margin %,2.2%,26.2%,27.9%,28.2%,27.5%

KEY P&L METRICS
Metric,Year 1,Year 2,Year 3,Year 4,Year 5
Revenue Growth YoY,-,112%,15%,7%,6%
Gross Margin %,69.6%,72.4%,71.3%,70.1%,68.9%
EBITDA Margin %,-0.6%,38.0%,40.2%,39.8%,39.3%
Net Margin %,-15.8%,21.6%,23.8%,23.8%,23.6%
Operating Leverage,High,Moderate,Stable,Stable,Stable

DEPRECIATION SCHEDULE
Asset Category,Cost,Life (Years),Annual Depreciation
Building Improvements,$4250000,15,$283333
